Category: All categories

Day,Python: (Tamil Nadu),Java: (Tamil Nadu),JavaScript: (Tamil Nadu),PHP: (Tamil Nadu)
2025-07-03,81,72,33,12
2025-07-04,79,66,32,11
2025-07-05,55,47,19,5
2025-07-06,44,32,15,3
2025-07-07,72,63,29,9
2025-07-08,86,73,36,11
2025-07-09,97,87,38,10
2025-07-10,82,75,34,11
2025-07-11,77,69,32,8
2025-07-12,50,47,19,3
2025-07-13,51,41,18,4
2025-07-14,89,77,32,10
2025-07-15,98,88,40,10
2025-07-16,91,90,41,9
2025-07-17,94,90,37,11
2025-07-18,90,81,33,9
2025-07-19,58,61,22,5
2025-07-20,61,48,18,4
2025-07-21,96,95,37,8
2025-07-22,95,94,36,9
2025-07-23,93,94,35,9
2025-07-24,93,90,36,9
2025-07-25,81,78,31,7
2025-07-26,60,55,22,5
2025-07-27,54,42,19,4
2025-07-28,91,85,35,8
2025-07-29,100,95,37,10
2025-07-30,95,90,36,9
2025-07-31,88,85,34,9
2025-08-01,91,75,32,8
2025-08-02,58,48,20,5
2025-08-03,51,37,15,4
